id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
162,2025-04-11,Cliente_044,Monitor,Computadores,Norte,3.0,836.49
163,2025-08-30,Cliente_037,Headset,Perifericos,Sudeste,3.0,156.61
164,2025-01-25,Cliente_031,Headset,Perifericos,Sudeste,6.0,160.1
165,2025-10-10,Cliente_008,Tablet,Celulares,Sul,4.0,851.85
166,2025-03-29,Cliente_003,Teclado,Perifericos,Nordeste,5.0,105.21
167,2025-04-27,Cliente_040,Notebook,Computadores,Sudeste,2.0,2371.95
168,2025-09-29,Cliente_012,Tablet,Celulares,Centro-Oeste,8.0,867.16
169,2025-12-27,Cliente_039,Teclado,Perifericos,Norte,2.0,94.49
170,2025-03-07,Cliente_040,Teclado,Perifericos,Nordeste,6.0,105.54
171,2025-07-15,Cliente_003,Teclado,Perifericos,Nordeste,10.0,106.83
172,2025-11-24,Cliente_016,Tablet,Celulares,Sul,3.0,869.86
173,2025-10-06,Cliente_010,Smartphone,Celulares,Sudeste,5.0,1329.0
174,2025-02-13,Cliente_031,Notebook,Computadores,Centro-Oeste,7.0,2555.19
175,2025-07-07,Cliente_037,Teclado,Perifericos,Norte,8.0,85.31
176,2025-04-12,Cliente_019!!,Mouse,Perifericos,Norte,2.0,46.75
177,2025-01-26,Cliente_005,Headset,Perifericos,Nordeste,2.0,136.08
178,2025-02-07,Cliente_030!!,Tablet,Celulares,Norte,1.0,876.12
179,2025-05-18,Cliente_037,Headset,Perifericos,Sul,4.0,166.95
180,2025-05-21,Cliente_017,Smartphone,Celulares,Nordeste,5.0,1374.72
181,2025-08-01,CLIENTE-006,Monitor,Computadores,Sudeste,4.0,772.48
182,2025-10-30,Cliente_043,Headset,Perifericos,Centro-Oeste,2.0,131.91
183,2025-06-01,Cliente_038,  Headset  ,Perifericos,Norte,,161.11
184,2025-08-10,Cliente_010,Mouse,Perifericos,Sudeste,3.0,44.16
185,2025-02-12,Cliente_042,Teclado,Perifericos,Norte,8.0,106.25
186,2025-12-25,cliente#034,Teclado,Perifericos,Sul,8.0,110.05
187,2025-12-24,Cliente_042,Tablet,Celulares,Nordeste,6.0,1067.03
188,2025-08-06,Cliente_014,Monitor,Computadores,Centro-Oeste,7.0,887.34
189,2025-11-29,Cliente_045,Tablet,Celulares,Sudeste,3.0,867.45
190,2025-02-09,Cliente_018,Teclado,Perifericos,Nordeste,3.0,90.76
191,2025-09-29,Cliente_035,Teclado,Perifericos,Centro-Oeste,10.0,86.89
192,2025-05-07,Cliente_023,Headset,Perifericos,Nordeste,7.0,139.27
193,2025-08-22,Cliente_039,Headset,Perifericos,Sudeste,5.0,150.95
194,2025-12-05,Cliente_046,Tablet,Celulares,Nordeste,6.0,1088.75
195,2025-08-04,Cliente_003,Headset,Perifericos,Sul,4.0,146.24
196,2025-05-30,Cliente_021,Tablet,Celulares,Norte,,1076.6
197,2025-05-30,Cliente_034,Monitor,Computadores,Norte,2.0,681.52
198,2025-10-31,Cliente_042,Notebook,Computadores,Nordeste,7.0,2293.39
199,2025-01-20,Cliente_014,Smartphone,Celulares,Centro-Oeste,,1310.35
200,2025-05-08,Cliente_023,Smartphone,Celulares,Sul,3.0,1372.59
